headline,description,date
Gaza’s jour­nal­ists: ‘Tar­gets’ or ‘ca­su­al­ties’ of Is­rael’s war?,"Gaza’s jour­nal­ists are be­ing killed at an un­prece­dent­ed rate. Plus, Is­rael’s pow­er­ful US al­lies: Chris­t­ian Zion­ists.",23-12-2023
Is­rael or­ders ‘death cor­ri­dor’ evac­u­a­tion for Pales­tini­ans in cen­tral Gaza,Hun­dreds of Pales­tini­ans were forced to evac­u­ate Bu­reij and Nu­seirat on Fri­day amid ris­ing at­tacks.,23-12-2023
"Is­rael’s war on Gaza: List of key events, day 78",UN Se­cu­ri­ty Coun­cil pass­es res­o­lu­tion to boost aid de­liv­ery to Gaza – here are oth­er ma­jor up­dates.,23-12-2023
US ac­cus­es Iran of be­ing ‘deeply in­volved’ in Houthi at­tacks in Red Sea,White House says Tehran is pro­vid­ing Yemeni rebel group with weapons and tac­ti­cal in­tel­li­gence.,23-12-2023
Is­raeli forces con­tin­ue at­tacks amid crit­i­cism over UNSC res­o­lu­tion on Gaza,The wa­tered-down res­o­lu­tion boost­ing aid to Gaza has been crit­i­cised by some coun­tries as ‘near­ly mean­ing­less’.,23-12-2023
RSF files sec­ond war crimes com­plaint with ICC over Gaza jour­nal­ists killed,Lat­est com­plaint by Paris-based press free­dom group asks court in the Hague to probe the deaths of sev­en jour­nal­ists.,22-12-2023
UN Se­cu­ri­ty Coun­cil pass­es res­o­lu­tion on in­creased Gaza aid de­liv­ery,"The US ab­stains on res­o­lu­tion that it lob­bied to weak­en over the course of sev­er­al days, al­low­ing it to pass.",22-12-2023
Watch­ing the watch­dogs: Why the West mis­in­ter­prets Mid­dle East pow­er shifts,West­ern me­dia are un­able to as­sess ac­cu­rate­ly the grow­ing pow­er of the Mid-East ‘Axis of Re­sis­tance’ due to prej­u­dices.,22-12-2023
"Mar­i­anne Williamson on her US pres­i­den­tial cam­paign, the econ­o­my and Gaza","‘The death of a Pales­tin­ian child is no less hor­ri­fy­ing than the death of an Is­raeli child,’ au­thor tells Al Jazeera.",22-12-2023
Is­rael’s AI-pow­ered ‘mass as­sas­si­na­tion fac­to­ry’,"‘Ac­count­abil­i­ty can’t be trans­ferred to any soft­ware sys­tem,’ soft­ware en­gi­neer Lau­ra Nolan un­packs use of AI in war.",22-12-2023
Is­rael-Gaza war: Why are cul­ture and so­ci­ety tar­gets?,Fa­ti­ma Bhut­to talks with Marc La­m­ont Hill about sup­port for Gaza in the Mus­lim world and at­tacks on Pales­tin­ian cul­ture.,22-12-2023
UN’s Volk­er Turk: A quar­ter of hu­man­i­ty is caught in 55 glob­al con­flicts,"Unit­ed Na­tions hu­man rights chief, Volk­er Turk, on ba­sic rights vi­o­la­tions in con­flict-rid­den ar­eas.",22-12-2023
What’s the lat­est UN Gaza res­o­lu­tion that the US has agreed to?,The US has heav­i­ly amend­ed the UAE-led UN draft res­o­lu­tion on Gaza as ca­su­al­ties and hunger rise in the en­clave.,22-12-2023
US ready to back di­lut­ed res­o­lu­tion on more aid to Gaza as UN vote de­layed,"UN Se­cu­ri­ty Coun­cil vote is ex­pect­ed on Fri­day af­ter four post­pone­ments, coun­tries’ dis­agree­ments over lan­guage of text.",22-12-2023
